row_number,word,meaning,gold,level,chunk1,chunk1_meaning,chunk2,chunk2_meaning,chunk3,chunk3_meaning,definition,definition_meaning,status,note,checked_at
5825,shrouded,覆われた、包まれた,32,C2,,,,,,,,,pending,shrouded (adj),
5826,shrug,竦める、窄める、ボレロ,16,C1,,,,,,,,,pending,shrug v.,
5827,shun,厭う、忌む、疎む,32,C2,,,,,,,,,pending,shun (v),
5828,shut,差す、挿す、閉ざす,2,A2,,,,,,,,,pending,"shut v., adj.",
5829,shy,引っ込み思案、恥ずかしい、内気,4,B1,,,,,,,,,pending,shy adj.,
5830,sibling,同生、妹背,8,B2,,,,,,,,,pending,sibling n.,
5831,sick,胸が悪い、シック、病める,1,A1,,,,,,,,,pending,sick adj.,
5832,side,横、横っ腹、横合い,2,A2,,,,,,,,,pending,side n.,
5833,sidewalk,人道、歩道、サイドウォーク,8,B2,,,,,,,,,pending,sidewalk n.,
5834,siege,包囲、囲み、攻囲,32,C2,,,,,,,,,pending,siege (n),
5835,sigh,嘆息、息衝く、ため息をつく,16,C1,,,,,,,,,pending,"sigh v., n.",
5836,sight,一覧、観、見事,4,B1,,,,,,,,,pending,sight n.,
5837,sign,記名、合図、表号,2,A2,,,,,,,,,pending,"sign n., v.",
5838,signal,合図、告げる、信号,4,B1,,,,,,,,,pending,"signal n., v.",
5839,signature,記帳、記名、署名,8,B2,,,,,,,,,pending,signature n.,
5840,significance,意義、意味、含蓄,8,B2,,,,,,,,,pending,significance n.,
5841,significant,重大、大した、有意,8,B2,,,,,,,,,pending,significant adj.,
5842,significantly,著しく、重要な意味で,8,B2,,,,,,,,,pending,significantly adv.,
5843,silence,静けさ、静寂、沈黙,8,B2,,,,,,,,,pending,silence n.,
5844,silent,森閑、静か、静粛,4,B1,,,,,,,,,pending,silent adj.,
5845,silhouette,影絵、影像、影法師,32,C2,,,,,,,,,pending,silhouette (n),
5846,silk,絹、絹布、帛,8,B2,,,,,,,,,pending,silk n.,
5847,silly,詰らない、下らない、滑稽,4,B1,,,,,,,,,pending,silly adj.,
5848,silver,シルバー、銀色、銀,2,A2,,,,,,,,,pending,"silver n., adj.",
5849,similar,近い、同じよう、同様,1,A1,,,,,,,,,pending,similar adj.,
5850,similarity,似寄り、相似、類似,4,B1,,,,,,,,,pending,similarity n.,
5851,similarly,同じく、同様に、等しく,4,B1,,,,,,,,,pending,similarly adv.,
5852,simile,直喩、例え、比喩,32,C2,,,,,,,,,pending,simile (n),
5853,simple,安易、安直、易しい,2,A2,,,,,,,,,pending,simple adj.,
5854,simpleton,二本棒、阿呆、表六玉,32,C2,,,,,,,,,pending,simpleton (n),
5855,simply,迚も、単に、飽くまで,4,B1,,,,,,,,,pending,simply adv.,
5856,simulate,模擬実験する、まねる,16,C1,,,,,,,,,pending,simulate v.,
5857,simulation,鍍金、疑似体験、模擬実験,16,C1,,,,,,,,,pending,simulation n.,
5858,simultaneously,一時に、一斉に、同時に,16,C1,,,,,,,,,pending,simultaneously adv.,
5859,sin,罪、罪悪、罪業,16,C1,,,,,,,,,pending,sin n.,
5860,since,以往、以後、以降,4,B1,,,,,,,,,pending,since adv.,
5861,since,此方、以往、以後,2,A2,,,,,,,,,pending,"since prep., conj.",
5862,sincere,克明、真摯、誠実,8,B2,,,,,,,,,pending,sincere adj.,
5863,sinecure,閑職、閑地,32,C2,,,,,,,,,pending,sinecure (n),
5864,sing,鳴く、囀る、歌う,1,A1,,,,,,,,,pending,sing v.,
5865,singer,歌手、歌い手、歌うたい,1,A1,,,,,,,,,pending,singer n.,
5866,singing,詠唱、歌唱、吟詠,2,A2,,,,,,,,,pending,singing n.,
5867,single,単一、単独、個室,2,A2,,,,,,,,,pending,"single adj., n.",
5868,singular,異色、異例、特異,32,C2,,,,,,,,,pending,singular (adj),
5869,singularity,単独、特異性、特異点,32,C2,,,,,,,,,pending,singularity (n),
5870,sink,引っ込む、凹む、下がる,4,B1,,,,,,,,,pending,sink v.,
5871,sir,旦那、公、サー,2,A2,,,,,,,,,pending,sir n.,
5872,siren,傾国、傾城、毒婦,32,C2,,,,,,,,,pending,siren (n),
5873,sister,童貞、姉君、大姉,1,A1,,,,,,,,,pending,sister n.,
5874,sit,掛ける、腰掛ける、座る,1,A1,,,,,,,,,pending,sit v.,
5875,site,拠点、現場、所,2,A2,,,,,,,,,pending,site n.,
5876,situated,位置している、置かれた,16,C1,,,,,,,,,pending,situated adj.,
5877,situation,雲行き、旗色、境遇,1,A1,,,,,,,,,pending,situation n.,
5878,six,六本、六、六つ,1,A1,,,,,,,,,pending,six number,
5879,sixteen,十六、二八,1,A1,,,,,,,,,pending,sixteen number,
5880,sixty,６０、シックスティー,1,A1,,,,,,,,,pending,sixty number,
5881,size,一回り、型、号,2,A2,,,,,,,,,pending,size n.,
5882,skeptical,懐疑的な,16,C1,,,,,,,,,pending,skeptical adj.,
5883,sketch,横顔、画稿、絵,16,C1,,,,,,,,,pending,sketch n.,
5884,ski,スキーの板、スキー板、片輪走行,2,A2,,,,,,,,,pending,"ski v., adj., n.",
5885,skiing,片輪走行、スキーの板、スキー板,2,A2,,,,,,,,,pending,skiing n.,
5886,skill,技、技術、技量,1,A1,,,,,,,,,pending,skill n.,
5887,skilled,強い、上手、達者,8,B2,,,,,,,,,pending,skilled adj.,
5888,skin,果皮、外皮、肌,2,A2,,,,,,,,,pending,skin n.,
5889,skip,跳び上がる、飛ぶ、跳躍,16,C1,,,,,,,,,pending,skip v.,
5890,skirmish,小競り合い、前衛戦、前駆戦,32,C2,,,,,,,,,pending,skirmish (n),
5891,skirt,褄、スカート、巻く,1,A1,,,,,,,,,pending,skirt n.,
5892,skull,頭蓋骨、頭骨、髑髏,8,B2,,,,,,,,,pending,skull n.,
5893,skullduggery,不正行為、陰謀,32,C2,,,,,,,,,pending,skullduggery (n),
5894,sky,久方、九天、空,2,A2,,,,,,,,,pending,sky n.,
5895,slam,かっ飛ばす、ぴちゃん、バタン,16,C1,,,,,,,,,pending,slam v.,
5896,slander,中傷、誹謗、誣いる,32,C2,,,,,,,,,pending,slander (n) / slander (v),
5897,slap,引っ叩く、打つ、張る,16,C1,,,,,,,,,pending,slap v.,
5898,slash,切り立てる、掻っ切る、斬撃,16,C1,,,,,,,,,pending,slash v.,
5899,slave,黒奴、奴隷、虜,4,B1,,,,,,,,,pending,slave n.,
5900,slavery,奴隷、隷従、隷属,16,C1,,,,,,,,,pending,slavery n.,
5901,sleep,休む、寝る、寝込む,1,A1,,,,,,,,,pending,sleep v.,
5902,sleep,脂、睡眠、眠り,2,A2,,,,,,,,,pending,sleep n.,
5903,slice,削ぐ、斬る、スライス,4,B1,,,,,,,,,pending,"slice n., v.",
5904,slide,滑らす、滑る、滑走,8,B2,,,,,,,,,pending,"slide v., n.",
5905,slight,本の、仮初め、僅か,8,B2,,,,,,,,,pending,slight adj.,
5906,slightly,微微、眇眇、一寸,4,B1,,,,,,,,,pending,slightly adv.,
5907,slip,滑る、失策、足を滑らす,8,B2,,,,,,,,,pending,slip v.,
5908,slogan,標語、合言葉、旗印,8,B2,,,,,,,,,pending,slogan n.,
5909,slope,雪崩れる、傾斜、坂路,8,B2,,,,,,,,,pending,"slope n., v.",
5910,slot,受け口、取り出し口、スロット,16,C1,,,,,,,,,pending,slot n.,
5911,sloth,無精、樹懶、懶惰,32,C2,,,,,,,,,pending,sloth (n),
5912,slow,そぞろ歩き、徐々、遅々,4,B1,,,,,,,,,pending,slow v.,
5913,slow,温い、緩い、緩やか,1,A1,,,,,,,,,pending,slow adj.,
5914,slowly,徐々、遅々、愚図愚図,2,A2,,,,,,,,,pending,slowly adv.,
5915,slumber,微睡,32,C2,,,,,,,,,pending,slumber (n),
5916,small,狭い、僅か、僅少,1,A1,,,,,,,,,pending,small adj.,
5917,smart,鯔背、機敏、軽妙,1,A1,,,,,,,,,pending,smart adj.,
5918,smartphone,高機能携帯電話、多機能携帯電話、スマホ,2,A2,,,,,,,,,pending,smartphone n.,
5919,smash,へし折る、割る、砕く,16,C1,,,,,,,,,pending,smash v.,
5920,smattering,生噛じり、片言,32,C2,,,,,,,,,pending,smattering (n),
5921,smell,感づく、嗅ぐ、聞く,2,A2,,,,,,,,,pending,"smell v., n.",
5922,smile,一笑、含み笑い、笑う,2,A2,,,,,,,,,pending,"smile v., n.",
5923,smoke,吹かす、遣る、一服,2,A2,,,,,,,,,pending,"smoke n., v.",
5924,smoking,喫煙、薫製、燻し,2,A2,,,,,,,,,pending,smoking n.,
5925,smooth,円やか、円転滑脱、円満,4,B1,,,,,,,,,pending,smooth adj.,
5926,snake,蛇、巳、蛇座,1,A1,,,,,,,,,pending,snake n.,
5927,snap,切れる、折れる、弾く,16,C1,,,,,,,,,pending,snap v.,
5928,snare,罠、罠網、引っ掛け,32,C2,,,,,,,,,pending,snare (n),
5929,sneaker,スニーカー,2,A2,,,,,,,,,pending,sneaker n.,
5930,snooty,高慢な、鼻持ちならない,32,C2,,,,,,,,,pending,snooty (adj),
5931,snow,降雪、砂嵐、雪,1,A1,,,,,,,,,pending,"snow n., v.",
5932,snub,鼻であしらう、けんつくを食わせる,32,C2,,,,,,,,,pending,snub (n),
5933,so,それで、とても,1,A1,,,,,,,,,pending,"so adv., conj.",
5934,soak,含ます、含ませる、浸す,16,C1,,,,,,,,,pending,soak v.,
5935,soap,石鹸、シャボン、ソープ,2,A2,,,,,,,,,pending,soap n.,
5936,soar,飛ぶ、舞い上がる、翔る,16,C1,,,,,,,,,pending,soar v.,
5937,sobriety,節酒、素顔、素面,32,C2,,,,,,,,,pending,sobriety (n),
5938,so-called,所謂、言うところの、括弧付き,8,B2,,,,,,,,,pending,so-called adj.,
5939,soccer,ア式蹴球、サッカー、アソシエーションフットボール,2,A2,,,,,,,,,pending,soccer n.,
5940,social,社会的、ノリが良い、サロン的,2,A2,,,,,,,,,pending,social adj.,
5941,socialist,社会主義者、主義者、ソーシャリスト,16,C1,,,,,,,,,pending,socialist adj.,
5942,society,会、協会、結社,2,A2,,,,,,,,,pending,society n.,
5943,sock,靴下、つま先、ぶん殴る,2,A2,,,,,,,,,pending,sock n.,
5944,soft,滑らか、緩い、軽い,2,A2,,,,,,,,,pending,soft adj.,
5945,software,同人、ソフト、ソフトウェア,4,B1,,,,,,,,,pending,software n.,
5946,soil,地、土、土壌,4,B1,,,,,,,,,pending,soil n.,
5947,sojourn,寄留、滞在、逗留,32,C2,,,,,,,,,pending,sojourn (n),
5948,solace,慰安、救い、癒し,32,C2,,,,,,,,,pending,solace (n),
5949,solar,ソーラー,8,B2,,,,,,,,,pending,solar adj.,
5950,soldier,軍人、軍卒、戦士,2,A2,,,,,,,,,pending,soldier n.,
5951,sole,単一、単独、せめてもの,16,C1,,,,,,,,,pending,sole adj.,
5952,solely,只管、一に、専ら,16,C1,,,,,,,,,pending,solely adv.,
5953,solemn,厳か、厳粛、厳然,32,C2,,,,,,,,,pending,solemn (adj),
5954,solemnity,威厳,32,C2,,,,,,,,,pending,solemnity (n),
5955,solicitor,事務弁護士、ソリシター,32,C2,,,,,,,,,pending,solicitor (n),
5956,solicitous,気遣う、熱心な,32,C2,,,,,,,,,pending,solicitous (adj),
5957,solid,確実、頑丈、強い,4,B1,,,,,,,,,pending,"solid adj., n.",
5958,solidarity,共同責任、結束、団結,16,C1,,,,,,,,,pending,solidarity n.,
5959,soliloquy,独り言、独白、独語,32,C2,,,,,,,,,pending,soliloquy (n),
5960,solitary,寂しい、孤高、たった一つ,32,C2,,,,,,,,,pending,solitary (adj),
5961,solitude,孤独、独居、幽境,32,C2,,,,,,,,,pending,solitude (n),
5962,solo,単独、独演、独奏,16,C1,,,,,,,,,pending,"solo adj., n.",
5963,solstice,至点,32,C2,,,,,,,,,pending,solstice (n),
5964,solution,解決、解決策、解答,2,A2,,,,,,,,,pending,solution n.,
5965,solve,解く、説き明かす、判じる,2,A2,,,,,,,,,pending,solve v.,
5966,sombre,暗澹、物憂げ、渋い,32,C2,,,,,,,,,pending,sombre (adj),
5967,some,いくつかの、いくらかの,1,A1,,,,,,,,,pending,"some det., pron.",
5968,somebody,何様、誰か、ひとかどの人物,1,A1,,,,,,,,,pending,somebody pron.,
5969,somehow,漫ろに、何か、何だか,8,B2,,,,,,,,,pending,somehow adv.,
5970,someone,ある人、一人物、何者か,1,A1,,,,,,,,,pending,someone pron.,
5971,something,何物、少し、物,1,A1,,,,,,,,,pending,something pron.,
5972,sometime,何時か,8,B2,,,,,,,,,pending,sometime adv.,
5973,sometimes,何時か、往々、時折,1,A1,,,,,,,,,pending,sometimes adv.,
5974,somewhat,一寸、何だか、幾らか,8,B2,,,,,,,,,pending,somewhat adv.,
5975,somewhere,何処か、何処ぞ、其処ら,2,A2,,,,,,,,,pending,"somewhere adv., pron.",
5976,son,お坊ちゃん、子息、息子,1,A1,,,,,,,,,pending,son n.,
5977,song,一番、詠歌、歌,1,A1,,,,,,,,,pending,song n.,
5978,soon,その内、軈て、遠からず,1,A1,,,,,,,,,pending,soon adv.,
5979,sophisticated,高機能、高度、上品,8,B2,,,,,,,,,pending,sophisticated adj.,
5980,sophistry,曲論、似非理屈、詭弁,32,C2,,,,,,,,,pending,sophistry (n),
5981,sophomore,二回生,16,C1,,,,,,,,,pending,sophomore n.,
5982,sophomore,二回生,32,C2,,,,,,,,,pending,sophomore (n) (US specific),
5983,sordid,猥雑、むさ苦しい、むさい,32,C2,,,,,,,,,pending,sordid (adj),
5984,sorry,悪い、生憎、済まない,1,A1,,,,,,,,,pending,"sorry adj., exclam.",
5985,sort,口、質、手,2,A2,,,,,,,,,pending,sort n.,
5986,sort,捌く、並べ替え、並べ替える,4,B1,,,,,,,,,pending,sort v.,
5987,soul,気骨、気迫、魂魄,8,B2,,,,,,,,,pending,soul n.,
5988,sound,確実、健やか、健康,16,C1,,,,,,,,,pending,sound adj.,
5989,sound,打つ、鳴らす、鳴る,1,A1,,,,,,,,,pending,"sound n., v.",
5990,soup,汁、汁物、湯,1,A1,,,,,,,,,pending,soup n.,
5991,source,筋、元、原因,2,A2,,,,,,,,,pending,source n.,
5992,south,午、南、南部,1,A1,,,,,,,,,pending,"south n., adj., adv.",
5993,southern,サザン,4,B1,,,,,,,,,pending,southern adj.,
5994,sovereign,君、君主、元首,32,C2,,,,,,,,,pending,sovereign (n),
5995,sovereignty,主権、万乗、至上権,16,C1,,,,,,,,,pending,sovereignty n.,
5996,sow,施す、蒔き付ける、蒔く,32,C2,,,,,,,,,pending,sow (v),
5997,space,宇宙、間、間隔,1,A1,,,,,,,,,pending,space n.,
5998,spam,迷惑メール、スパム、荒らす,16,C1,,,,,,,,,pending,spam n.,
5999,span,架かる、跨ぐ、張る,16,C1,,,,,,,,,pending,"span v., n.",
6000,spare,厭う、裂く、取る,16,C1,,,,,,,,,pending,spare v.,
6001,spare,余計、簡勁、厭う,8,B2,,,,,,,,,pending,spare adj.,
6002,spark,火をつける、火花を散らす、スパーク,16,C1,,,,,,,,,pending,spark v.,
6003,spasm,引きつり、激発、発作,32,C2,,,,,,,,,pending,spasm (n),
6004,spate,大量、相次ぐ発生,32,C2,,,,,,,,,pending,spate (n),
6005,spawn,生み付ける、卵,32,C2,,,,,,,,,pending,spawn (v),
6006,speak,仰る、口にする、使う,1,A1,,,,,,,,,pending,speak v.,
6007,speaker,演者、議長、代弁者,2,A2,,,,,,,,,pending,speaker n.,
6008,special,異色、一方ならぬ、格別,1,A1,,,,,,,,,pending,special adj.,
6009,specialist,専属、専門家、本職,8,B2,,,,,,,,,pending,"specialist n., adj.",
6010,specialize,専門にする,8,B2,,,,,,,,,pending,specialize v.,
6011,specialized,特化型,16,C1,,,,,,,,,pending,specialized adj.,
6012,species,一種、種、種族,8,B2,,,,,,,,,pending,species n.,
6013,specific,具体的、詳細、特異的,2,A2,,,,,,,,,pending,specific adj.,
6014,specifically,具体的に、特に,4,B1,,,,,,,,,pending,specifically adv.,
6015,specification,仕様、指定、明記,16,C1,,,,,,,,,pending,specification n.,
6016,specify,明記する、指定する,8,B2,,,,,,,,,pending,specify v.,
6017,specimen,見本、個体、参考品,16,C1,,,,,,,,,pending,specimen n.,
6018,spectacle,観、見世物、見事,16,C1,,,,,,,,,pending,spectacle n.,
6019,spectacular,華々しい、目覚ましい、花々,8,B2,,,,,,,,,pending,spectacular adj.,
6020,spectator,お客さん、お客様、観客,8,B2,,,,,,,,,pending,spectator n.,
6021,spectre,怪異、曲者、物の怪,32,C2,,,,,,,,,pending,spectre (n),
6022,spectrum,分光、スペクトラム、スペクトル,16,C1,,,,,,,,,pending,spectrum n.,
6023,speculate,山をかける、山を張る,8,B2,,,,,,,,,pending,speculate v.,
6024,speculation,一六勝負、憶説、下馬評,8,B2,,,,,,,,,pending,speculation n.,
6025,speculator,山師、仕手、相場師,32,C2,,,,,,,,,pending,speculator (n),
6026,speech,挨拶、一席、演説,2,A2,,,,,,,,,pending,speech n.,
6027,speed,すっ飛ばす、急ぎ、時速,8,B2,,,,,,,,,pending,speed v.,
6028,speed,急ぎ、時速、速さ,2,A2,,,,,,,,,pending,speed n.,
6029,spell,呪い、呪縛、呪文,16,C1,,,,,,,,,pending,spell n.,
6030,spell,呪縛、綴る、呪い,1,A1,,,,,,,,,pending,spell v.,
6031,spelling,綴り、綴り方、綴り字,1,A1,,,,,,,,,pending,spelling n.,
6032,spend,過ごす、掛ける、使う,1,A1,,,,,,,,,pending,spend v.,
6033,spending,費消、費途、過ごす,4,B1,,,,,,,,,pending,spending n.,
6034,sphere,球、球体、玉,16,C1,,,,,,,,,pending,sphere n.,
6035,spice,香辛料、香味料、彩り,8,B2,,,,,,,,,pending,spice n.,
6036,spicy,乙、辛い、艶っぽい,4,B1,,,,,,,,,pending,spicy adj.,
6037,spider,蜘蛛、細蟹、ロボット検索エンジン,2,A2,,,,,,,,,pending,spider n.,
6038,spill,溢流、垂らす、転落,8,B2,,,,,,,,,pending,spill v.,
6039,spin,ひとっ走り、一走り、回す,16,C1,,,,,,,,,pending,"spin v., n.",
6040,spine,心臓、脊椎、背骨,16,C1,,,,,,,,,pending,spine n.,
6041,spinster,売れ残り、独身者、行かず後家,32,C2,,,,,,,,,pending,spinster (n),
6042,spirit,意気、肝、気,4,B1,,,,,,,,,pending,spirit n.,
6043,spiritual,信仰的、霊的、精神的,8,B2,,,,,,,,,pending,spiritual adj.,
6044,spite,悪意、悪念、意趣,8,B2,,,,,,,,,pending,spite n.,
6045,splendour,栄華、栄耀、華美,32,C2,,,,,,,,,pending,splendour (n),
6046,split,割る、割れる、断ち割る,8,B2,,,,,,,,,pending,"split v., n.",
6047,spoil,駄目になる、壊す、覚ます,8,B2,,,,,,,,,pending,spoil v.,
6048,spoken,口頭,4,B1,,,,,,,,,pending,spoken adj.,
6049,spokesman,看板、広報担当官、スポークスマン,8,B2,,,,,,,,,pending,spokesman n.,
6050,spokesperson,代弁者、広報担当官、スポークスパーソン,8,B2,,,,,,,,,pending,spokesperson n.,
6051,spokeswoman,スポークスウーマン,8,B2,,,,,,,,,pending,spokeswoman n.,
6052,sponsor,教父、後ろ盾、主催者,8,B2,,,,,,,,,pending,"sponsor v., n.",
6053,sponsorship,主催、提携、肝いり,8,B2,,,,,,,,,pending,sponsorship n.,
6054,spontaneity,自発、天然、自発性,32,C2,,,,,,,,,pending,spontaneity (n),
6055,spoon,匙、スプーン,2,A2,,,,,,,,,pending,spoon n.,
6056,sport,戯れ、巫山戯、スポーツ,1,A1,,,,,,,,,pending,sport n.,
6057,spot,一斑、境、実地,4,B1,,,,,,,,,pending,spot n.,
6058,spot,所、補助、見つける,8,B2,,,,,,,,,pending,spot v.,
6059,spotlight,点光、世間の目、スポット,16,C1,,,,,,,,,pending,spotlight n.,
6060,spouse,配偶、配偶者、伴侶,16,C1,,,,,,,,,pending,spouse n.,
6061,sprawl,スプロール現象、スプロール、寝そべる,32,C2,,,,,,,,,pending,sprawl (n),
6062,spread,拡散、見開き、広がり,8,B2,,,,,,,,,pending,spread n.,
6063,spread,蔓延る、移る、拡散,4,B1,,,,,,,,,pending,spread v.,
6064,spring,春、春夏秋冬、弾む,4,B1,,,,,,,,,pending,spring v.,
6065,spring,発条、腰、春,1,A1,,,,,,,,,pending,spring n.,
6066,spur,支脈、拍車、分岐線,32,C2,,,,,,,,,pending,spur (n),
6067,spurious,有りもしない,32,C2,,,,,,,,,pending,spurious (adj),
6068,spurn,撥ね付ける、踏みつける、突っ撥ねる,32,C2,,,,,,,,,pending,spurn (v),
6069,spy,斥候、密偵、スパイ,16,C1,,,,,,,,,pending,"spy n., v.",
6070,squad,一隊、班、部隊,16,C1,,,,,,,,,pending,squad n.,
6071,squadron,戦隊,32,C2,,,,,,,,,pending,squadron (n),
6072,squalid,汚らしい、むさ苦しい、むさい,32,C2,,,,,,,,,pending,squalid (adj),
6073,squalor,不潔さ、むさ苦しさ,32,C2,,,,,,,,,pending,squalor (n),
6074,squander,傾ける、使い果たす、使い尽くす,32,C2,,,,,,,,,pending,squander (v),
6075,square,まっ四角、厳つい、四角,2,A2,,,,,,,,,pending,"square adj., n.",
6076,squeeze,詰め込む、吸い取る、搾り取る,16,C1,,,,,,,,,pending,squeeze v.,
6077,stab,刺し通す、刺す、刺傷,16,C1,,,,,,,,,pending,stab v.,
6078,stability,安定、安定性、安寧,16,C1,,,,,,,,,pending,stability n.,
6079,stabilize,固める,16,C1,,,,,,,,,pending,stabilize v.,
6080,stable,平ら、強固、安固,8,B2,,,,,,,,,pending,stable adj.,
6081,stadium,観客席、競技会場、運動公園,4,B1,,,,,,,,,pending,stadium n.,
6082,staff,幹部、関係者、局員,4,B1,,,,,,,,,pending,staff n.,
6083,stage,一歩、階、期,2,A2,,,,,,,,,pending,stage n.,
6084,stage,一歩、時期、階,8,B2,,,,,,,,,pending,stage v.,
6085,stagnant,停滞した、よどんだ,32,C2,,,,,,,,,pending,stagnant (adj),
6086,staid,落ち着いた、堅苦しい,32,C2,,,,,,,,,pending,staid (adj),
6087,stair,段、梯子段,2,A2,,,,,,,,,pending,stair n.,
6088,stake,杭、賭け、棒杙,16,C1,,,,,,,,,pending,stake n.,
6089,stalemate,足踏み、停頓、膠着,32,C2,,,,,,,,,pending,stalemate (n),
6090,stall,屋台、個室、失速,8,B2,,,,,,,,,pending,stall n.,
6091,stalwart,忠実な支持者、たくましい,32,C2,,,,,,,,,pending,stalwart (n),
6092,stamina,体力、持久力、耐久力,32,C2,,,,,,,,,pending,stamina (n),
6093,stamp,印、印鑑、印紙,2,A2,,,,,,,,,pending,stamp n.,
6094,stampede,人波、潰走、雪崩を打つ,32,C2,,,,,,,,,pending,stampede (n),
6095,stance,構え、姿勢、態度,8,B2,,,,,,,,,pending,stance n.,
6096,stand,案、屋台、架台,8,B2,,,,,,,,,pending,stand n.,
6097,stand,耐える、忍ぶ、立つ,1,A1,,,,,,,,,pending,stand v.,
6098,standard,画一的、本格的、世間並み,4,B1,,,,,,,,,pending,"standard n., adj.",
6099,standing,案、屋台、架台,16,C1,,,,,,,,,pending,standing adj.,
6100,standoff,にらみ合い、スタンドオフ、カシメ,32,C2,,,,,,,,,pending,standoff (n),
6101,standstill,足踏み、停止、停滞,32,C2,,,,,,,,,pending,standstill (n),
6102,stanza,一連、節、連,32,C2,,,,,,,,,pending,stanza (n),
6103,star,花形、巨擘、恒星,1,A1,,,,,,,,,pending,star n.,
6104,star,花形、巨擘、恒星,2,A2,,,,,,,,,pending,star v.,
6105,stare,じっと見る、凝視、瞳を凝らす,8,B2,,,,,,,,,pending,stare v.,
6106,stark,殺伐、冷厳,16,C1,,,,,,,,,pending,stark adj.,
6107,start,開く、開始、掛かる,1,A1,,,,,,,,,pending,start v.,
6108,start,抑、一、開始,2,A2,,,,,,,,,pending,start n.,
6109,starve,飢える、疲れる,8,B2,,,,,,,,,pending,starve v.,
6110,stasis,うっ滞、シュタージ,32,C2,,,,,,,,,pending,stasis (n),
6111,state,加減、境地、仰せられる,4,B1,,,,,,,,,pending,"state adj., v.",
6112,state,加減、境地、形容,2,A2,,,,,,,,,pending,state n.,
6113,stately,厳か、重厚、堂々,32,C2,,,,,,,,,pending,stately (adj),
6114,statement,記載、言説、言明,1,A1,,,,,,,,,pending,statement n.,
6115,statesmanship,施政、ステーツマンシップ,32,C2,,,,,,,,,pending,statesmanship (n),
6116,station,駅頭、次、停留所,1,A1,,,,,,,,,pending,station n.,
6117,statistic,統計量、統計値,4,B1,,,,,,,,,pending,statistic n.,
6118,statistical,統計的,16,C1,,,,,,,,,pending,statistical adj.,
6119,statue,一座、偶像、寿像,4,B1,,,,,,,,,pending,statue n.,
6120,status,格、筋、座,8,B2,,,,,,,,,pending,status n.,
6121,statute,例規,32,C2,,,,,,,,,pending,statute (n),
6122,staunch,筋金入り、骨のある、信頼に足る,32,C2,,,,,,,,,pending,staunch (adj),
6123,stay,居座る、居着く、乗る,1,A1,,,,,,,,,pending,stay v.,
6124,stay,支え、支柱、滞在,2,A2,,,,,,,,,pending,stay n.,
6125,steadfastness,不動心、確固不動、匪石之心,32,C2,,,,,,,,,pending,steadfastness (n),
6126,steadily,繁繁、絶えず、直押しに,8,B2,,,,,,,,,pending,steadily adv.,
6127,steady,硬い、堅調、実直,8,B2,,,,,,,,,pending,steady adj.,
6128,steal,取る、食い荒らす、奪う,2,A2,,,,,,,,,pending,steal v.,
6129,stealth,忍び、ステルス,32,C2,,,,,,,,,pending,stealth (n),
6130,steam,蒸気、水気、水蒸気,8,B2,,,,,,,,,pending,steam n.,
6131,steel,鋼、鋼鉄、鋼鉄製,8,B2,,,,,,,,,pending,steel n.,
6132,steep,急、険しい、険阻,8,B2,,,,,,,,,pending,steep adj.,
6133,steer,操る、牡牛,16,C1,,,,,,,,,pending,steer v.,
6134,stem,支える、食い止める、せき止める,16,C1,,,,,,,,,pending,"stem n., v.",
6135,stench,悪臭、匂い,32,C2,,,,,,,,,pending,stench (n),
6136,step,一切り、一足、一段,2,A2,,,,,,,,,pending,step n.,
6137,step,一歩、処置、措置,8,B2,,,,,,,,,pending,step v.,
6138,stereotype,鉛版、固定観念、紙型,16,C1,,,,,,,,,pending,stereotype n.,
6139,steward,家従、家職、家扶,32,C2,,,,,,,,,pending,steward (n),
6140,stewardship,管理責任、監督,32,C2,,,,,,,,,pending,stewardship (n),
6141,stick,刺す、乗る、張る,4,B1,,,,,,,,,pending,stick (push into/attach) v.,
6142,stick,棒、棒切れ、棍棒,4,B1,,,,,,,,,pending,stick (piece of wood) n.,
6143,stickler,厳格にこだわる人,32,C2,,,,,,,,,pending,stickler (n),
6144,sticky,泥々、粘り強い、粘い,8,B2,,,,,,,,,pending,sticky adj.,
6145,stiff,窮屈、強靭、硬い,8,B2,,,,,,,,,pending,stiff adj.,
6146,stifle,押し殺す、殺す、もみ消す,32,C2,,,,,,,,,pending,stifle (v),
6147,stigma,汚名、気孔、柱頭,32,C2,,,,,,,,,pending,stigma (n),
6148,still,依然、閑散、森閑,4,B1,,,,,,,,,pending,still adj.,
6149,still,凝乎と、矢っ張り、依然,1,A1,,,,,,,,,pending,still adv.,
6150,stimulate,唆る、助ける、進める,8,B2,,,,,,,,,pending,stimulate v.,
6151,stimulus,弾み、誘い水、励み,16,C1,,,,,,,,,pending,stimulus n.,
6152,stint,制限する、期間,32,C2,,,,,,,,,pending,stint (n),
6153,stipulate,定める、謳う、定む,32,C2,,,,,,,,,pending,stipulate (v),
6154,stir,混ぜる、身じろぐ、かき回す,16,C1,,,,,,,,,pending,stir v.,
6155,stock,株、株式、血,8,B2,,,,,,,,,pending,stock n.,
6156,stoic,ストイック、禁欲主義者、ストア,32,C2,,,,,,,,,pending,stoic (adj),
6157,stoicism,忍苦、禁欲主義、忍耐力,32,C2,,,,,,,,,pending,stoicism (n),
